PointID,AltID,AltID_text,DateOccupied,OPUS,Feature Code,Longitude_Global,Latitude_Global,Elevation_m,Northing,Easting,H_Precision,V_Precision,RMS
SV-1092,1092,1092,10/15/2018,Precise,Smithville,-113.92641,39.47669902,1450.565,4373767.361,248284.9655,0.018,0.026,0.004
TV-4001,4001,4001,5/24/2018,Precise,COYOTE SPRING,-113.5190756,39.33365829,1349.708,4356830.375,282883.1184,0.029,0.038,0.005
TV-4002,4002,4002,5/24/2018,Precise,COYOTE SPRING,-113.5200174,39.33407207,1349.579,4356878.569,282803.2106,0.032,0.041,0.005
TV-4003,4003,4003,5/24/2018,Precise,COYOTE SPRING,-113.5185038,39.33494242,1349.581,4356971.538,282936.3798,0.031,0.041,0.005
TV-4010,4010,4010,5/24/2018,Precise,COYOTE SPRING,-113.5156453,39.35113243,1348.973,4358761.745,283232.8339,0.017,0.026,0.004
TV-4011,4011,4011,5/24/2018,Precise,COYOTE SPRING,-113.516361,39.35183122,1348.822,4358841.028,283173.3164,0.017,0.026,0.004
TV-4012,4012,4012,5/24/2018,Precise,COYOTE SPRING,-113.5149247,39.35137143,1348.713,4358786.544,283295.6671,0.03,0.041,0.007
TV-4013,4013,4013,5/24/2018,Precise,COYOTE SPRING,-113.5153021,39.3526493,1348.262,4358929.292,283267.0976,0.026,0.042,0.005
TV-4014,4014,4014,5/24/2018,Precise,COYOTE SPRING,-113.5150981,39.35275959,1348.327,4358941.044,283285.0155,0.026,0.042,0.005
TV-4015,4015,4015,5/24/2018,Precise,COYOTE SPRING,-113.5150302,39.35420345,1347.964,4359101.148,283295.3361,0.024,0.037,0.005
TV-4020,4020,4020,5/24/2018,Precise,COYOTE SPRING,-113.5159048,39.35786609,1347.921,4359509.797,283231.2927,0.024,0.033,0.005
TV-4030,4030,4030,5/24/2018,Precise,COYOTE SPRING,-113.5138755,39.3714479,1348.664,4361012.496,283448.1382,0.02,0.028,0.004
TV-4040,4040,4040,5/24/2018,Precise,COYOTE SPRING,-113.4867163,39.42452058,1349.315,4366838.708,285950.3779,0.016,0.02,0.004
TV-4041,4041,4041,5/24/2018,Precise,COYOTE SPRING,-113.4859623,39.42483045,1349.121,4366871.314,286016.2307,0.018,0.024,0.004
TV-4042,4042,4042,5/24/2018,Precise,COYOTE SPRING,-113.4862683,39.42558019,1348.78,4366955.261,285992.1825,0.018,0.022,0.003
TV-4043,4043,4043,5/24/2018,Precise,COYOTE SPRING,-113.4845073,39.42560049,1348.927,4366953.335,286143.8446,0.019,0.022,0.004
TV-4044,4044,4044,5/24/2018,Precise,COYOTE SPRING,-113.4841259,39.42418154,1349.037,4366794.927,286172.342,0.018,0.024,0.004
TV-4045,4045,4045,5/24/2018,Precise,COYOTE SPRING,-113.4828816,39.42236012,1348.887,4366589.8,286273.8949,0.022,0.026,0.004
TV-4046,4046,4046,5/24/2018,Precise,COYOTE SPRING,-113.4841353,39.42165287,1349.325,4366514.268,286163.7967,0.021,0.026,0.004
TV-4047,4047,4047,5/24/2018,Precise,COYOTE SPRING,-113.4848201,39.42105618,1349.441,4366449.66,286103.0223,0.021,0.026,0.004
TV-4048,4048,4048,5/24/2018,Precise,COYOTE SPRING,-113.486136,39.42270186,1349.508,4366635.453,285994.7644,0.019,0.024,0.004
